College Name and Place,Logo Link
"{'Name': 'Sree Narayana College of Education -  [SNCE]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1470121618logo.sree1.jpg?h=43&w=43&mode=stretch
"{'Name': 'Sri Venkateswara College of Education', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1470207219logo.vas.png?h=43&w=43&mode=stretch
"{'Name': 'Vasavi College of Education', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1428649745logo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Sri Venkateshwaraa Medical College Hospital & Research Centre', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1544512430mainlogo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Mahe Institute of Dental Sciences & Hospital - [MINDS]', 'Location': 'Mahe, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1676009367Screenshot20230210113758.png?h=43&w=43&mode=stretch
"{'Name': 'Vinayaka Missions College of Nursing - [VMCON]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/146737663913952321842.png?h=43&w=43&mode=stretch
"{'Name': 'Vinayaka Missions College of Nursing - [VMCON-K]', 'Location': 'Karaikal, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/146743651513952321842.png?h=43&w=43&mode=stretch
"{'Name': 'Pondicherry University', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/14841125340.jpg?h=43&w=43&mode=stretch
"{'Name': 'Indira Gandhi College of Arts and Science', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1470478340logo.png?h=43&w=43&mode=stretch
"{'Name': 'Indira Gandhi Medial College and Research Institute - [IGMC &RI]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1470485154logo.png?h=43&w=43&mode=stretch
