College Name,Place,Logo Link
Guru Nanak Institute of Management Studies - [GNIMS],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1702290834download8.png?h=43&w=43&mode=stretch
Byramjee Jeejeebhoy Government Medical College - [BJMC],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1478948805bjlogo.jpg?h=43&w=43&mode=stretch
M.E.S. Abasaheb Garware College,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1423831190mes-logo1.jpg?h=43&w=43&mode=stretch
College of Engineering  - [COEP],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1519887344lgoedt.png?h=43&w=43&mode=stretch
K.J. Somaiya Medical College & Research Centre - [KJSMC],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1479194943dcsdfcsvcs.jpg?h=43&w=43&mode=stretch
Dr DY Patil Medical College Hospital and Research Centre - [DYPMC],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1473844227LogoDpu2.jpg?h=43&w=43&mode=stretch
Sheila Raheja School of Business Management & Research - [SRBS],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1476431128download.jpg?h=43&w=43&mode=stretch
Government Medical College and Hospital,"Aurangabad, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1478934047b3.jpg?h=43&w=43&mode=stretch
Vilasrao Deshmukh Government Medical College,"Latur, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1584608760download.jpg?h=43&w=43&mode=stretch
MGM Medical College,"Navi Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1509540692Logo.jpg?h=43&w=43&mode=stretch
Bharati Vidyapeeth Deemed University,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1474525751b logo.jpg?h=43&w=43&mode=stretch
Defence Institute of Advanced Technology - [DIAT],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1441194642220px-Logo_of_DIAT.jpg?h=43&w=43&mode=stretch
Brihan Maharashtra College of Commerce - [BMCC],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1510133643DeccanEducationSocietyLogo.jpg?h=43&w=43&mode=stretch
