,Country,Universities Names,University Place
253, Australia,"Central Queensland University, Rockhampton","Queensland, Australia"
254, Australia,"Southern Cross University, Lismore","New South Wales, Australia"
255, Australia,"Charles Sturt University, Sydney","New South Wales, Australia"
256, Australia,"University of New England, Armidale","New South Wales, Australia"
257, Australia,"University of the Sunshine Coast, Sippy Downs","Queensland, Australia"
258, Australia,"The University of Notre Dame, Fremantle","Western Australia, Australia"
259, Australia,"Carnegie Mellon University, Adelaide","South Australia, Australia"
260, Australia,"Melbourne Business School, Melbourne","Victoria, Australia"
261, Australia,"Blue Mountains International Hotel Management School, Sydney","New South Wales, Australia"
262, Australia,"Engineering Institute of Technology, Perth","Western Australia, Australia"
263, Australia,"James Cook University (Brisbane Campus), Brisbane","Queensland, Australia"
264, Australia,"Kaplan Business School, Adelaide","South Australia, Australia"
265, Australia,"S P Jain School of Global Management, Sydney","New South Wales, Australia"
266, Australia,"Torrens University Australia, Adelaide","South Australia, Australia"
267, Australia,"Australian Graduate School of Management, Kensington","New South Wales, Australia"
268, Australia,"Deakin Business School, Melbourne","Victoria, Australia"
269, Australia,"The University of Sydney Business School, Sydney","New South Wales, Australia"
270, Australia,"Sydney Business School, University of Wollongong, Wollongong","New South Wales, Australia"
271, Australia,"Curtin Business School, Perth","Western Australia, Australia"
272, Australia,"La Trobe Business School, Melbourne","Victoria, Australia"
273, Australia,"School of Business, University of Western Australia, Perth","Western Australia, Australia"
274, Australia,"College of Business and Economics, Australian National University, Canberra","Australian Capital Territory , Australia"
275, Australia,"Macquarie Graduate School of Management, Sydney","New South Wales, Australia"
276, Australia,"Bond Business School, Gold Coast","Queensland, Australia"
277, Australia,"Victoria Graduate School of Business, Victoria University, Melbourne","Victoria, Australia"
278, Australia,"Murdoch Institute of Technology, Perth","Western Australia, Australia"
279, Australia,"Australia Institute of Business and Technology, Brisbane","Queensland, Australia"
280, Australia,"Curtin College, Perth","Western Australia, Australia"
281, Australia,"La Trobe College, Melbourne","Victoria, Australia"
282, Australia,"Macleay College, Sydney","New South Wales, Australia"
283, Australia,"Sydney Institute of Business and Technology, Sydney","New South Wales, Australia"
284, Australia,"UOW College, Wollongong","New South Wales, Australia"
285, Australia,"Box Hill Institute, Melbourne","Victoria, Australia"
286, Australia,"Monash College, Melbourne","Victoria, Australia"
287, Australia,"Asia Pacific International College, Sydney","New South Wales, Australia"
288, Australia,"TAFE Queensland, South Bank","Queensland, Australia"
289, Australia,"TAFE NSW, Sydney","New South Wales, Australia"
290, Australia,"Sae Institute, South Bank","Queensland, Australia"
291, Australia,"Deakin College, Melbourne","Victoria, Australia"
292, Australia,"Excelsia College, Port Macquarie","New South Wales, Australia"
293, Australia,"Holmes Institute (Cairns), Cairns","Queensland, Australia"
294, Australia,"Griffith College, Southport","Queensland, Australia"
295, Australia,"Holmes Institute - Melbourne, Melbourne","Victoria, Australia"
296, Australia,"Melbourne Institute of Technology, Melbourne","Victoria, Australia"
297, Australia,"Whitehouse Institute of Design, Sydney","New South Wales, Australia"
298, Germany,"Technical University Munich, Munich","Bavaria, Germany"
299, Germany,"Ludwig Maximilian University of Munich, Munich","Bavaria, Germany"
300, Germany,"Heidelberg University, Heidelberg","Baden-Wurttemberg, Germany"
301, Germany,"Humboldt University of Berlin, Berlin","Berlin, Germany"
302, Germany,"RWTH Aachen University, Aachen","North Rhine-Westphalia, Germany"
303, Germany,"University of Bonn, Bonn","North Rhine-Westphalia, Germany"
304, Germany,"University of Tuebingen, Tubingen","Baden-Wurttemberg, Germany"
305, Germany,"Free University of Berlin, Berlin","Berlin, Germany"
306, Germany,"University of Goettingen, Gottingen","Lower Saxony, Germany"
307, Germany,"University of Freiburg, Freiburg","Baden-Wurttemberg, Germany"
308, Germany,"Technical University Berlin, Berlin","Berlin, Germany"
309, Germany,"University of Hamburg, Hamburg","Hamburg, Germany"
310, Germany,"Karlsruhe Institute of Technology, Karlsruhe","Baden-Wurttemberg, Germany"
311, Germany,"University of Cologne, Cologne","North Rhine-Westphalia, Germany"
312, Germany,"Technical University Dresden, Dresden","Saxony, Germany"
313, Germany,"University of Wuerzburg, Wurzburg","Bavaria, Germany"
314, Germany,"University of Mannheim, Mannheim","Baden-Wurttemberg, Germany"
315, Germany,"University of Muenster, Munster","North Rhine-Westphalia, Germany"
316, Germany,"Ulm University, Ulm","Baden-Wurttemberg, Germany"
317, Germany,"Goethe University Frankfurt, Frankfurt am Main","Hesse, Germany"
318, Germany,"Friedrich Schiller University Jena, Jena","Thuringia, Germany"
319, Germany,"University of Potsdam, Potsdam","Brandenburg, Germany"
320, Germany,"Ruhr University Bochum, Bochum","North Rhine-Westphalia, Germany"
321, Germany,"Technical University Darmstadt, Darmstadt","Hesse, Germany"
322, Germany,"University of Duesseldorf, Dusseldorf","North Rhine-Westphalia, Germany"
323, Germany,"University of Konstanz, Konstanz","Baden-Wurttemberg, Germany"
324, Germany,"Johannes Gutenberg University of Mainz, Mainz","Rhineland-Palatinate, Germany"
325, Germany,"University of Hohenheim, Stuttgart","Baden-Wurttemberg, Germany"
326, Germany,"University of Stuttgart, Stuttgart","Baden-Wurttemberg, Germany"
327, Germany,"University of Bremen, Bremen","Bremen, Germany"
328, Germany,"University of Kiel, Kiel","Schleswig-Holstein, Germany"
329, Germany,"University of Bayreuth, Bayreuth","Bavaria, Germany"
330, Germany,"Leibniz University of Hannover, Hannover","Lower Saxony, Germany"
331, Germany,"Technical University Dortmund, Dortmund","North Rhine-Westphalia, Germany"
332, Germany,"University of Greifswald, Greifswald","Mecklenburg-Vorpommern, Germany"
333, Germany,"University of Passau, Passau","Bavaria, Germany"
334, Germany,"Technical University of Braunschweig, Braunschweig","Lower Saxony, Germany"
335, Germany,"Leuphana University of Luneburg, Luneburg","Lower Saxony, Germany"
336, Germany,"Otto von Guericke University, Magdeburg","Saxony, Germany"
337, Germany,"University of Siegen, Siegen","North Rhine-Westphalia, Germany"
338, Germany,"Technical University Ilmenau, Ilmenau","Thuringia, Germany"
339, Germany,"University of Erlangen-Nuremberg, Erlangen","Bavaria, Germany"
340, Germany,"Karlsruhe School of Optics & Photonics, Karlsruhe","Baden-Wurttemberg, Germany"
341, Germany,"Leipzig University, Leipzig","Saxony, Germany"
342, Germany,"Saarland University, Saarbrucken","Saarland, Germany"
343, Germany,"Martin Luther University Halle-Wittenberg, Halle","Saxony, Germany"
344, Germany,"University of Regensburg, Regensburg","Bavaria, Germany"
345, Germany,"Philipps University Marburg, Marburg","Hesse, Germany"
346, Germany,"University of Rostock, Rostock","Mecklenburg-Vorpommern, Germany"
347, Germany,"University of Duisburg-Essen, Duisburg","North Rhine-Westphalia, Germany"
348, Germany,"Bielefeld University, Bielefeld","North Rhine-Westphalia, Germany"
349, Germany,"Hamburg University of Technology, Hamburg","Hamburg, Germany"
350, Germany,"University of Luebeck, Lubeck","Schleswig-Holstein, Germany"
351, Germany,"University of Kassel, Kassel","Hesse, Germany"
352, Germany,"University of Wuppertal, Wuppertal","North Rhine-Westphalia, Germany"
353, Germany,"Carl von Ossietzky University of Oldenburg, Oldenburg","Lower Saxony, Germany"
354, Germany,"University of Kaiserslautern, Kaiserslautern","Rhineland-Palatinate, Germany"
355, Germany,"Brandenburg University of Technology, Cottbus","Brandenburg, Germany"
356, Germany,"Paderborn University, Paderborn","North Rhine-Westphalia, Germany"
357, Germany,"University of Augsburg, Augsburg","Bavaria, Germany"
358, Germany,"Chemnitz University of Technology, Chemnitz","Saxony, Germany"
359, Germany,"Jacobs University, Bremen","Bremen, Germany"
