,Country,Universities Names,University Place,Tuition Fees
291, Australia,"Deakin College, Melbourne","Victoria, Australia",₹18.27L/Yr
292, Australia,"Excelsia College, Port Macquarie","New South Wales, Australia",₹11.68L/Yr
293, Australia,"Holmes Institute (Cairns), Cairns","Queensland, Australia",₹6.98L/Yr
294, Australia,"Griffith College, Southport","Queensland, Australia",₹3.91L/Yr
295, Australia,"Holmes Institute - Melbourne, Melbourne","Victoria, Australia",₹16.77L/Yr
296, Australia,"Melbourne Institute of Technology, Melbourne","Victoria, Australia",₹16.25L/Yr
297, Australia,"Whitehouse Institute of Design, Sydney","New South Wales, Australia",₹39.39L/Yr
298, Germany,"Technical University Munich, Munich","Bavaria, Germany",₹10.05L/Yr
299, Germany,"Ludwig Maximilian University of Munich, Munich","Bavaria, Germany",₹82.8K/Yr
300, Germany,"Heidelberg University, Heidelberg","Baden-Wurttemberg, Germany",₹2.85L/Yr
301, Germany,"Humboldt University of Berlin, Berlin","Berlin, Germany",₹20.7K/Yr
302, Germany,"RWTH Aachen University, Aachen","North Rhine-Westphalia, Germany",₹2.39L/Yr
303, Germany,"University of Bonn, Bonn","North Rhine-Westphalia, Germany",₹59.1K/Yr
304, Germany,"University of Tuebingen, Tubingen","Baden-Wurttemberg, Germany",₹2.74L/Yr
305, Germany,"Free University of Berlin, Berlin","Berlin, Germany",₹15.9K/Yr
306, Germany,"University of Goettingen, Gottingen","Lower Saxony, Germany",₹62.7K/Yr
307, Germany,"University of Freiburg, Freiburg","Baden-Wurttemberg, Germany",₹2.74L/Yr
308, Germany,"Technical University Berlin, Berlin","Berlin, Germany",₹19.6K/Yr
309, Germany,"University of Hamburg, Hamburg","Hamburg, Germany",₹62.2K/Yr
310, Germany,"Karlsruhe Institute of Technology, Karlsruhe","Baden-Wurttemberg, Germany",₹1.37L/Yr
311, Germany,"University of Cologne, Cologne","North Rhine-Westphalia, Germany",₹45.7K/Yr
312, Germany,"Technical University Dresden, Dresden","Saxony, Germany",₹24.1K/Yr
313, Germany,"University of Wuerzburg, Wurzburg","Bavaria, Germany",₹28.5K/Yr
314, Germany,"University of Mannheim, Mannheim","Baden-Wurttemberg, Germany",₹2.74L/Yr
315, Germany,"University of Muenster, Munster","North Rhine-Westphalia, Germany",₹31.3K/Yr
316, Germany,"Ulm University, Ulm","Baden-Wurttemberg, Germany",₹2.74L/Yr
317, Germany,"Goethe University Frankfurt, Frankfurt am Main","Hesse, Germany",₹74.2K/Yr
318, Germany,"Friedrich Schiller University Jena, Jena","Thuringia, Germany",₹43.9K/Yr
319, Germany,"University of Potsdam, Potsdam","Brandenburg, Germany",₹57.8K/Yr
320, Germany,"Ruhr University Bochum, Bochum","North Rhine-Westphalia, Germany",₹1.09L/Yr
321, Germany,"Technical University Darmstadt, Darmstadt","Hesse, Germany",₹41.7K/Yr
322, Germany,"University of Duesseldorf, Dusseldorf","North Rhine-Westphalia, Germany",₹54.8K/Yr
323, Germany,"University of Konstanz, Konstanz","Baden-Wurttemberg, Germany",₹2.29L/Yr
